[  22 / 132 ] flow_distance =    35.401367940457668 | volume_distance =    21.487261924313550 | sum_distance =    56.888629864771218 | exercise(cycle,model) = exerc_2 | exerc_2
[  22 / 132 ] flow_distance =    71.676745217935434 | volume_distance =    30.426386561243095 | sum_distance =   102.103131779178526 | exercise(cycle,model) = exerc_2 | exerc_5
[  22 / 132 ] flow_distance =    87.505381601043212 | volume_distance =    33.991723951832242 | sum_distance =   121.497105552875453 | exercise(cycle,model) = exerc_2 | exerc_1

[  23 / 132 ] flow_distance =   181.569046658461730 | volume_distance =     5.540750556819479 | sum_distance =   187.109797215281219 | exercise(cycle,model) = exerc_2 | exerc_4
[  23 / 132 ] flow_distance =    87.300532982550919 | volume_distance =     2.427237827739979 | sum_distance =    89.727770810290892 | exercise(cycle,model) = exerc_2 | exerc_6
[  23 / 132 ] flow_distance =   333.544656856735969 | volume_distance =     6.342907918545933 | sum_distance =   339.887564775281930 | exercise(cycle,model) = exerc_2 | exerc_3
[  23 / 132 ] flow_distance =    53.140965507104923 | volume_distance =     1.866468104883469 | sum_distance =    55.007433611988390 | exercise(cycle,model) = exerc_2 | exerc_7
[  23 / 132 ] flow_distance =    22.781171706481185 | volume_distance =     8.073837570774810 | sum_distance =    30.855009277255995 | exercise(cycle,model) = exerc_2 | exerc_2
[  23 / 132 ] flow_distance =    60.638244173352390 | volume_distance =     8.117411320675787 | sum_distance =    68.755655494028176 | exercise(cycle,model) = exerc_2 | exerc_5
[  23 / 132 ] flow_distance =    78.050771945768943 | volume_distance =     6.779881360854749 | sum_distance =    84.830653306623688 | exercise(cycle,model) = exerc_2 | exerc_1

[  24 / 132 ] flow_distance =   160.967803374459805 | volume_distance =     3.570003557827821 | sum_distance =   164.537806932287623 | exercise(cycle,model) = exerc_2 | exerc_4
[  24 / 132 ] flow_distance =    70.853709391602266 | volume_distance =     4.668285437878882 | sum_distance =    75.521994829481145 | exercise(cycle,model) = exerc_2 | exerc_6
[  24 / 132 ] flow_distance =   307.873287703517860 | volume_distance =     6.602039017214058 | sum_distance =   314.475326720731914 | exercise(cycle,model) = exerc_2 | exerc_3
[  24 / 132 ] flow_distance =    53.775947015464695 | volume_distance =    11.038097465773843 | sum_distance =    64.814044481238540 | exercise(cycle,model) = exerc_2 | exerc_7
[  24 / 132 ] flow_distance =     0.000000000000000 | volume_distance =     0.000000000000000 | sum_distance =     0.000000000000000 | exercise(cycle,model) = exerc_2 | exerc_2
[  24 / 132 ] flow_distance =    74.577044400972753 | volume_distance =     6.363947273484222 | sum_distance =    80.940991674456981 | exercise(cycle,model) = exerc_2 | exerc_5
[  24 / 132 ] flow_distance =    52.290927876406784 | volume_distance =     3.291704405364835 | sum_distance =    55.582632281771616 | exercise(cycle,model) = exerc_2 | exerc_1

[  25 / 132 ] flow_distance =   135.597469761341500 | volume_distance =     2.836334222501886 | sum_distance =   138.433803983843376 | exercise(cycle,model) = exerc_2 | exerc_4
[  25 / 132 ] flow_distance =    38.165441114706155 | volume_distance =     1.071935091042552 | sum_distance =    39.237376205748710 | exercise(cycle,model) = exerc_2 | exerc_6
[  25 / 132 ] flow_distance =   245.354715301928678 | volume_distance =     2.884139422581083 | sum_distance =   248.238854724509764 | exercise(cycle,model) = exerc_2 | exerc_3
